"Name","ECU Internal Datalog - 2025-08-5 8;45;26 am"
"Section Time","Engine Speed","MAP","Ignition Angle","Lambda 1","Knock Count Global","IAT","ECT","Knock Cyl 4 Counter","Knock Cyl 3 Counter","Knock Cyl 2 Counter","Knock Cyl 1 Counter","Knock I-Trim Cyl 4","Knock I-Trim Cyl 3","Knock I-Trim Cyl 2","Knock I-Trim Cyl 1","AFR/Lambda Target","TPS (Main)","Knock Cyl 1 Level","Knock Cyl 2 Level","Knock Cyl 3 Level","Knock Cyl 4 Level","MGP","BAP","Batt Voltage","Injector Duty Cycle","Injection Actual PW","Injection Timing","Dwell Time","Knock Threshold","Knock Level Normalised","Knock F-Trim Inj 4","Knock F-Trim Inj 3","Knock F-Trim Inj 2","Knock F-Trim Inj 1","Boost Base DC","Boost - Proportional","Boost - Integral","Boost - Derivative","Boost Target","Lambda Avg","CL Lambda  Fuel  Corr.","CL Lambda LT corr.","CL Lambda Target Error 1","Engine Running Time","WGate DC","Aux 7 Duty","% Ignition Cut","Math Block 1 Output - Lambda without CLL","Math Block 8 Output - Gsum","Accel Fuel","FTrim Cylinder 1","FTrim Cylinder 2","FTrim Cylinder 3","FTrim Cylinder 4","Knock MAP Delta","Knock TPS Delta","TPS Delta","MAP Delta","Engine Fan 1 Output","An Volt 5 - TPS (Main) Source","Fuel Table 1","TPS 2 Delta","Overrun Fuel Cut Status","Oil Temperature","Oil Pressure","Fuel Temperature","Fuel Pressure","Fuel 4D Table","Air per Cylinder Estimated","Estimated Torque","Lambda Target Error","Idle Target Error","Math Block 2 Output - AFR Target Error"
"s","RPM","kPa"," BTDC","AFR","","°C","°C","","","","","","","","","AFR","%","","","","","kPa","kPa","V"," %","ms","BTDC","ms","","","%","%","%","%","%","%DC","%DC","%DC","kPa","AFR","%","%","AFR","s","%","%","%","","","ms","%","%","%","%","kPa/100ms","%/100ms","%/100ms","kPa/100ms","","V","%","%/100ms","","°C","kPa","°C","kPa","%","g/cyl","Nm","AFR","RPM",""

"-79.981","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.044","0","0","0","0","0","0","0","0","0","0","0.228","18","0","0","80.7","2.5","32.1","286.3","0","0","0","-4.013","0","0.273"
"-79.961","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.05","0","0","0","0","0","0","0.1","-0.2","0","0","0.228","18","0","0","80.7","2.5","32.1","286.3","0","0","0","-4.013","0","0.273"
"-79.941","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.043","0","0","0","0","0","0","-0.2","-0.1","0","0","0.228","18","0","0","80.7","2.5","32.1","286.3","0","0","0","-4.013","0","0.273"
"-79.921","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.045","0","0","0","0","0","0","0","0","0","0","0.228","18","0","0","80.7","2.5","32.2","286.3","0","0","0","-4.013","0","0.273"
"-79.901","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.049","0","0","0","0","0","0","0","-0.1","0","0","0.228","18","0","0","80.7","2.3","32.2","286.3","0","0","0","-4.013","0","0.273"
"-79.881","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.047","0","0","0","0","0","0","0.1","0.3","0","0","0.228","18","0","0","80.7","2.3","32.2","286.1","0","0","0","-4.013","0","0.273"
"-79.861","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.044","0","0","0","0","0","0","0","0","0","0","0.228","18","0","0","80.7","2.3","32.2","286.2","0","0","0","-4.013","0","0.273"
"-79.841","0","101.5","0","18.008","0","36.1","81.2","0","0","0","0","0","0","0","0","13.994","0","0","0","0","0","0.4","101.13","12.395","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","18.008","0","0","0","0","0","0","0","18.007","1.044","0","0","0","0","0","0","-0.2","-0.1","0","0","0.228","18","0","0","80.7","2.5","32.2","286.2","0","0","0","-4.013","0","0.273"
